"old_colname","new_colname","old_colvalue","new_colvalue"
"SAMPLE_TYPE","SAMPLE_TYPE","Primary Solid Tumor", "Primary"
"SAMPLE_TYPE","SAMPLE_TYPE","Solid Tissue Normal", "Normal"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","EUR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","AFR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","AMR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","EAS_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","SAS_ADMIX","ADMIX"
"SUBTYPE","POOLED_SUBTYPE","BRCA_Basal","Basal"
"SUBTYPE","POOLED_SUBTYPE","BRCA_LumA","non_Basal"
"SUBTYPE","POOLED_SUBTYPE","BRCA_LumB","non_Basal"
"SUBTYPE","POOLED_SUBTYPE","BRCA_Normal","non_Basal"
"SUBTYPE","POOLED_SUBTYPE","BRCA_Her2","non_Basal"
"SUBTYPE","SUBTYPE","BRCA_Basal","Basal"
"SUBTYPE","SUBTYPE","BRCA_LumA","LumA"
"SUBTYPE","SUBTYPE","BRCA_LumB","LumB"
"SUBTYPE","SUBTYPE","BRCA_Normal","Normal"
"SUBTYPE","SUBTYPE","BRCA_Her2","Her2"
