"old_colname","new_colname","old_colvalue","new_colvalue"
"SAMPLE_TYPE","SAMPLE_TYPE","Primary Solid Tumor", "Primary"
"SAMPLE_TYPE","SAMPLE_TYPE","Solid Tissue Normal", "Normal"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","EUR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","AFR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","AMR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","EAS_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","SAS_ADMIX","ADMIX"
"TUMOR_TYPE","TUMOR_TYPE","Thyroid Papillary Carcinoma, Classical/Usual Type","Classical"
"TUMOR_TYPE","TUMOR_TYPE","Thyroid Papillary Carcinoma, Follicular (>= 99% Follicular Patterned)","Follicular"
"TUMOR_TYPE","TUMOR_TYPE","Thyroid Papillary Carcinoma, Tall Cell (>= 50% Tall Cell Features)","Tall_cell"
