"old_colname","new_colname","old_colvalue","new_colvalue"
"SAMPLE_TYPE","SAMPLE_TYPE","Primary Solid Tumor", "Primary"
"SAMPLE_TYPE","SAMPLE_TYPE","Solid Tissue Normal", "Normal"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","EUR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","AFR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","AMR_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","EAS_ADMIX","ADMIX"
"GENETIC_ANCESTRY_LABEL","POOLED_GENETIC_ANCESTRY","SAS_ADMIX","ADMIX"
"CANCER_TYPE_DETAILED","CANCER_TYPE_DETAILED","Uterine Endometrioid Carcinoma","Endometrioid"
"CANCER_TYPE_DETAILED","CANCER_TYPE_DETAILED","Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma","Serous"
"CANCER_TYPE_DETAILED","CANCER_TYPE_DETAILED","Uterine Mixed Endometrial Carcinoma","Mixed"
